"scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
"Bassaricyon alleni Thomas, 1880",-70.09928,-12.56078,"Peru","Madre de Dios",NA,2022,"HUMAN_OBSERVATION","131962321","iNaturalist",NA,4
"Bassaricyon alleni Thomas, 1880",-69.49197,-12.85631,"Peru","Madre de Dios",NA,2022,"HUMAN_OBSERVATION","133216922","iNaturalist",NA,4
"Bassaricyon alleni Thomas, 1880",-71.81475,-7.84219,"Brazil","Acre",NA,2021,"HUMAN_OBSERVATION","88445727","iNaturalist",NA,122
"Bassaricyon alleni Thomas, 1880",-73.66536,-7.45831,"Brazil","Acre",NA,2021,"HUMAN_OBSERVATION","102324791","iNaturalist",NA,61
"Bassaricyon alleni Thomas, 1880",-72.70796,4.99571,"Colombia","Casanare","El Aceite",2021,"HUMAN_OBSERVATION",NA,"Ecopetrol S.A.",395,NA
"Bassaricyon alleni Thomas, 1880",-77.6275,-0.54111,"Ecuador","Napo",NA,2019,"HUMAN_OBSERVATION","24565193","iNaturalist",NA,1481
"Bassaricyon alleni Thomas, 1880",-77.60329,-0.68884,"Ecuador","Napo",NA,2019,"HUMAN_OBSERVATION","92109845","iNaturalist",NA,NA
"Bassaricyon alleni Thomas, 1880",-70.72194,-12.33869,"Peru","Madre de Dios",NA,2019,"HUMAN_OBSERVATION","28965902","iNaturalist",NA,NA
"Bassaricyon alleni Thomas, 1880",-77.59931,-0.67138,"Ecuador","Napo",NA,2019,"HUMAN_OBSERVATION","70771558","iNaturalist",NA,237
"Bassaricyon alleni Thomas, 1880",-76.73172,-1.10424,"Ecuador","Pastaza",NA,2018,"HUMAN_OBSERVATION","19623940","iNaturalist",NA,10000
"Bassaricyon alleni Thomas, 1880",-69.49339,-12.06862,"Peru",NA,"Peru - Madre de Dios",2016,"HUMAN_OBSERVATION","OBS.120455411",NA,NA,100
"Bassaricyon alleni Thomas, 1880",-69.49446,-12.06803,"Peru",NA,"Peru - Madre de Dios",2016,"HUMAN_OBSERVATION","OBS.119487424",NA,NA,10
"Bassaricyon alleni Thomas, 1880",-73.44844,7.02192,"Colombia","Santander","La Putana, Quebrada Aguamieluda",2016,"HUMAN_OBSERVATION",NA,"Isagen S.A. E.S.P.",653,NA
"Bassaricyon alleni Thomas, 1880",-73.45672,6.56263,"Colombia","Santander",NA,2015,"HUMAN_OBSERVATION","12868953","iNaturalist",NA,211
"Bassaricyon alleni Thomas, 1880",-69.35806,-12.86536,"Peru",NA,"Peru - Madre de Dios",2013,"HUMAN_OBSERVATION","OBS.80401082",NA,NA,1000
"Bassaricyon alleni Thomas, 1880",-58.68429,4.67258,"Guyana","Potaro-Siparuni",NA,2013,"HUMAN_OBSERVATION","59780107","iNaturalist",NA,211
"BOLD:AAW2833",-58.85,4.733,"Guyana","Potaro-Siparuni","Iwokrama Reserve, Burro Burro River, 25 Km Wnw Of Kurupukari",1997,"MATERIAL_SAMPLE","107380",NA,90,NA
"Bassaricyon beddardi Pocock, 1921",-58.85,4.73,"Guyana",NA,"Potaro-Siparuni, Iwokrama Reserve, Burro Burro River, 25 Km WNW Of Kurupukari",1997,"PRESERVED_SPECIMEN","ROM:107380",NA,NA,NA
"Bassaricyon alleni Thomas, 1880",-64.7825,-17.10528,"Bolivia (Plurinational State of)","Cochabamba","Sajta",1993,"PRESERVED_SPECIMEN","MSB:Mamm:238304","MSB",250,NA
"Bassaricyon alleni Thomas, 1880",-78.233,-3.483,"Ecuador",NA,"Coangos",1993,"HUMAN_OBSERVATION","59293","Conservation International",NA,NA
"Bassaricyon alleni Thomas, 1880",-69.083,-13,"Peru",NA,"Pampas del Heath National Sanctuary",1992,"HUMAN_OBSERVATION","6272","Conservation International",NA,NA
"Bassaricyon alleni Thomas, 1880",-69.295,-12.838,"Peru",NA,"Explorers Inn",1992,"HUMAN_OBSERVATION","53743","Conservation International",280,NA
"Bassaricyon alleni Thomas, 1880",-78.13,-2.65,"Ecuador","Morona Santiago","Yapitya",1984,"MACHINE_OBSERVATION","41223","CLO",NA,NA
"Bassaricyon alleni Thomas, 1880",-78.08,-2.72,"Ecuador","Morona Santiago","West slope Cordillera de Cutucu",1984,"MACHINE_OBSERVATION","41500","CLO",NA,NA
"Bassaricyon alleni Thomas, 1880",-78.17881,-4.53948,"Peru","Amazonas","Sua (Aguaruna village), Rio Cenepa",1978,"PRESERVED_SPECIMEN","MVZ:Mamm:155219","MVZ",NA,445
"Bassaricyon alleni Thomas, 1880",-78.15333,-4.45667,"Peru","Amazonas","Tseasim (Aguaruna village), Rio Huampami, tributary of Rio Cenepa",1978,"PRESERVED_SPECIMEN","MVZ:Mamm:155220","MVZ",229,289
