"scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.0742,5.35656,"Colombia","Risaralda",NA,2022,"HUMAN_OBSERVATION","108523085","iNaturalist",NA,31384
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.76716,-0.08748,"Ecuador","Pichincha",NA,2022,"HUMAN_OBSERVATION","111889909","iNaturalist",NA,31451
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.60644,0.113,"Ecuador","Pichincha",NA,2021,"HUMAN_OBSERVATION","69438539","iNaturalist",NA,31451
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.29859,1.7602,"Colombia","Huila",NA,2021,"HUMAN_OBSERVATION","107535736","iNaturalist",NA,31444
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-75.48448,5.05466,"Colombia","Caldas","Puente Vizcaya, zona urbana",2021,"PRESERVED_SPECIMEN","MHNUCa:3809","Universidad de Caldas (UCaldas)",NA,NA
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.73049,-0.13586,"Ecuador","Pichincha",NA,2020,"HUMAN_OBSERVATION","37281605","iNaturalist",NA,31451
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.00746,6.31692,"Colombia","Antioquia",NA,2020,"HUMAN_OBSERVATION","38343184","iNaturalist",NA,31356
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.77385,-0.03666,"Ecuador","Pichincha",NA,2019,"HUMAN_OBSERVATION","92111781","iNaturalist",NA,31451
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.6806,-0.0157,"Ecuador",NA,"Ecuador - Pichincha - Bellavista Cloud Forest Reserve",2019,"HUMAN_OBSERVATION","OBS.173123979",NA,NA,50
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-78.7756,0.10924,"Ecuador","Pichincha",NA,2019,"HUMAN_OBSERVATION","30840261","iNaturalist",NA,31451
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.45864,4.04831,"Colombia","Valle del Cauca","PNR Páramo del Duende",2018,"HUMAN_OBSERVATION","489","Universidad del Valle (UV)",2443,NA
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.45786,4.04878,"Colombia","Valle del Cauca","PNR Páramo del Duende",2018,"HUMAN_OBSERVATION","488","Universidad del Valle (UV)",2411,NA
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.20734,4.78206,"Colombia","Valle del Cauca","Finca La Floresta",2018,"MACHINE_OBSERVATION",NA,"Asociación Colombiana de Zoología (ACZ)",2050,NA
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",-76.45747,4.04906,"Colombia","Valle del Cauca","PNR Páramo del Duende",2018,"HUMAN_OBSERVATION","570","Universidad del Valle (UV)",2400,NA
